Name,Price,Price/KG,URL
IRONBARK PORK Pork Ribs,15.19,$18.99 per 1 kg,https://www.aldi.com.au/product/000000000000400091
JINDURRA STATION Beef Porterhouse Steak 200g,7.0,$35.00 per 1 kg,https://www.aldi.com.au/product/000000000000400092
IRONBARK PORK Lightly Infused Pork Loin Steak,7.29,$16.49 per 1 kg,https://www.aldi.com.au/product/000000000000400114
JINDURRA STATION Beef Eye Fillet,30.33,$36.99 per 1 kg,https://www.aldi.com.au/product/000000000000400168
JINDURRA STATION Beef Scotch Fillet Steak 170g,8.0,$47.06 per 1 kg,https://www.aldi.com.au/product/000000000000400202
"READY, SET…COOK! Honey & Rosemary Butterflied Lamb Leg",19.79,$17.99 per 1 kg,https://www.aldi.com.au/product/000000000000400218
JINDURRA STATION Beef T-Bone Steak,10.29,$30.99 per 1 kg,https://www.aldi.com.au/product/000000000000400229
RIVER COUNTRY VEAL Veal Schnitzel,13.5,$29.99 per 1 kg,https://www.aldi.com.au/product/000000000000400230
KILLARNEE Half Lamb Leg Bone In,20.99,$13.99 per 1 kg,https://www.aldi.com.au/product/000000000000400247
SPECIALLY SELECTED Grass Fed Angus Beef Sausages 500g,7.99,$15.98 per 1 kg,https://www.aldi.com.au/product/000000000000400267
"READY, SET…COOK! Marinated Honey Soy RSPCA Approved Chicken Drumsticks 1.5kg",6.99,$4.66 per 1 kg,https://www.aldi.com.au/product/000000000000400358
"READY, SET…COOK! Pork Loin with Greek Style Seasoning Per Kg",16.37,$17.49 per 1 kg,https://www.aldi.com.au/product/000000000000400536
THE FISHMONGER Melt in the Middle Fish Cakes Salmon & Hollandaise 2 Pack 290g,5.99,$20.66 per 1 kg,https://www.aldi.com.au/product/000000000000400666
THE FISHMONGER Cooked Prawn Cutlets with Cocktail Sauce 230g,8.99,$39.09 per 1 kg,https://www.aldi.com.au/product/000000000000400752
SPECIALLY SELECTED Wagyu Beef Sausages 500g,7.99,$15.98 per 1 kg,https://www.aldi.com.au/product/000000000000400848
"READY, SET…COOK! Free Range Marinated Chicken Breast",9.5,$18.99 per 1 kg,https://www.aldi.com.au/product/000000000000400862
THE FISHMONGER Fresh Tasmanian Salmon Fillets Skin Off 2 Pack 260g,12.99,$49.96 per 1 kg,https://www.aldi.com.au/product/000000000000401066
SPECIALLY SELECTED Beef Eye Fillet Steak Aged 21 Days,16.5,$54.99 per 1 kg,https://www.aldi.com.au/product/000000000000401085
SPECIALLY SELECTED Beef Scotch Fillet Aged 21 Days,18.0,$44.99 per 1 kg,https://www.aldi.com.au/product/000000000000401087
THE FISHMONGER Smoked Ocean Trout 200g,9.99,$49.95 per 1 kg,https://www.aldi.com.au/product/000000000000401246
JINDURRA STATION Beef Chuck Casserole,16.99,$16.99 per 1 kg,https://www.aldi.com.au/product/000000000000401302
"READY, SET…COOK! Southern Style RSPCA Approved Chicken Portions",14.39,$11.99 per 1 kg,https://www.aldi.com.au/product/000000000000401375
BROAD OAK FARMS RSPCA Approved Chicken Mince 500g,5.49,$10.98 per 1 kg,https://www.aldi.com.au/product/000000000000401545
BROAD OAK FARMS RSPCA Approved Chicken Thigh Fillets,9.59,$15.99 per 1 kg,https://www.aldi.com.au/product/000000000000401598
BROAD OAK FARMS RSPCA Approved Chicken Breast Fillets,7.79,$12.99 per 1 kg,https://www.aldi.com.au/product/000000000000401713
BROAD OAK FARMS RSPCA Approved Chicken Tenderloin,7.69,$13.99 per 1 kg,https://www.aldi.com.au/product/000000000000401714
THE FISHMONGER Basa Fillets Skin Off 400g,7.49,$18.73 per 1 kg,https://www.aldi.com.au/product/000000000000401905
BROAD OAK FARMS RSPCA Approved  Chicken Thigh Cutlets Skinless and Bone In,5.84,$8.99 per 1 kg,https://www.aldi.com.au/product/000000000000402023
"READY, SET…COOK! Herb & Garlic Rissoles 540g",6.69,$12.39 per 1 kg,https://www.aldi.com.au/product/000000000000402201
SPECIALLY SELECTED Wagyu Meatballs 420g,7.99,$19.02 per 1 kg,https://www.aldi.com.au/product/000000000000402570
JINDURRA STATION Beef Rump Steak 250g,8.0,$32.00 per 1 kg,https://www.aldi.com.au/product/000000000000402668
IRONBARK PORK Boneless Pork Loin Roast,21.74,$14.49 per 1 kg,https://www.aldi.com.au/product/000000000000402950
