Name,Price,Price / KG,URL
Tassal Atlantic Salmon Skin Off 300g,15.0,$50.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/630331
Macro Free Range Chicken Stir Fry 500g,,,https://www.woolworths.com.au/shop/productdetails/563937
Woolworths Pork & Veal Meatballs 400g,8.0,$20.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/822439
Just Caught Raw Prawn Meat 300g,10.0,$33.33 / 1KG,https://www.woolworths.com.au/shop/productdetails/62050
Woolworths Cooked Jumbo Tiger Prawns Thawed,30.0,$30.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/31015
Woolworths 6 Chicken Kebabs Honey Soy 375g,7.0,$18.67 / 1KG,https://www.woolworths.com.au/shop/productdetails/908166
Woolworths Roasted Garlic Chicken Tenderloins 400g,9.5,$23.75 / 1KG,https://www.woolworths.com.au/shop/productdetails/164677
Woolworths Prawn King Cooked Extra Large,36.0,$36.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/91397
Macro Grass Fed Australian Stir-Fry Beef 500g,,,https://www.woolworths.com.au/shop/productdetails/175569
Woolworths Pork Belly 600g - 1.3kg,26.0,$20.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/764465
Woolworths Cook Marinated Lamb Steaks With Thyme Pepper & Garlic 270g,8.5,$31.48 / 1KG,https://www.woolworths.com.au/shop/productdetails/83534
Woolworths RSPCA Approved Chicken Drumsticks Bulk 1.1kg - 1.7kg,8.16,$4.80 / 1KG,https://www.woolworths.com.au/shop/productdetails/140481
Primo Shortcut Rindless Bacon 750g,12.5,$16.67 / 1KG,https://www.woolworths.com.au/shop/productdetails/235782
Just Caught Peeled & Deveined Raw Prawns 1kg,27.0,$27.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/666563
Tassal Salmon Family Bundle 460g,15.0,$32.61 / 1KG,https://www.woolworths.com.au/shop/productdetails/757677
Woolworths 16 Pork Chipolatas 550g,6.5,$11.82 / 1KG,https://www.woolworths.com.au/shop/productdetails/901684
Woolworths Cook Slow Cooked Beef Brisket 700g,16.5,$23.57 / 1KG,https://www.woolworths.com.au/shop/productdetails/821038
Macro Organic Extra Lean Beef Mince 500g,15.5,$31.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/321551
K-Roo Kangaroo Mince 1kg,14.6,$14.60 / 1KG,https://www.woolworths.com.au/shop/productdetails/148292
Macro Whole Chicken Free Range 1.15kg - 2.25kg,14.63,$6.50 / 1KG,https://www.woolworths.com.au/shop/productdetails/184653
Woolworths Frozen Salmon Fillets Skin On 250g,9.0,$36.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/259832
Peppercorn Beef Sausages Extra Lean 450g,8.5,$18.89 / 1KG,https://www.woolworths.com.au/shop/productdetails/178143
Pastoral Rare Roast Beef Sliced From The Deli,39.0,$39.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/918022
Woolworths Lamb Strips Souvlaki Style 300g,,,https://www.woolworths.com.au/shop/productdetails/251348
Macro Free Range Chicken Drumsticks 750g - 1.1kg,6.05,$5.50 / 1KG,https://www.woolworths.com.au/shop/productdetails/764857
Primo Kransky Double Smoked From The Deli,18.5,$18.50 / 1KG,https://www.woolworths.com.au/shop/productdetails/40556
Woolworths Cook Boneless Butterflied Chicken Mango & Sweet Chilli 850g - 1.25kg,13.75,$11.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/67677
Woolworths RSPCA Approved Chicken Maryland Supreme 530g - 800g,7.2,$9.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/927531
Ocean Blue Smoked Salmon 100g,9.0,$90.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/345350
Woolworths Cook Butterflied Lamb Leg With Garlic & Herbs 750g - 1.4kg,,,https://www.woolworths.com.au/shop/productdetails/321141
Woolworths Wood Smoked & Sliced Smoked Salmon Natural 100g,6.5,$65.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/274957
Macro Grass Fed 4 Extra Lean Beef Burgers 500g,10.0,$20.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/901717
Primo Shortcut Rindless Bacon 200g,6.8,$34.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/390879
Woolworths 6 Classic Chicken Burgers 600g,8.0,$13.33 / 1KG,https://www.woolworths.com.au/shop/productdetails/909305
Woolworths Frozen Basa Fillets 1kg,7.2,$7.20 / 1KG,https://www.woolworths.com.au/shop/productdetails/445352
Woolworths Beef Rump Stir Fry Thin Sliced 400g,12.0,$30.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/317306
D'Orsogna Shortcut Bacon 1kg,22.0,$22.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/176564
Woolworths Cooking Bacon 1kg,9.9,$9.90 / 1KG,https://www.woolworths.com.au/shop/productdetails/273259
Primo Pastrami Shaved From The Deli,34.0,$34.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/54467
Woolworths Boneless Chicken Kyiv With Creamy Cheese & Ham Filling 700g,7.0,$10.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/134035
Woolworths Lamb Leg Steak 270g,,,https://www.woolworths.com.au/shop/productdetails/675490
